ID,Country of Origin,Country_clean,Region,Region_clean,Farm Name,Producer,Company,Variety,Variety_clean,Processing Method,Processing_Method_clean,Processing_Method_group,Harvest Year,Harvest_Year_start,Harvest_Year_end,Harvest_Year_display,Altitude_raw,Altitude_pattern,Altitude_clean,Altitude_final,Altitude_flag_low,Altitude_flag_high,Altitude_flag_suspect_feet,Altitude_meters_if_feet,Total Cup Points,Quality_Grade,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Category Two Defects,Quakers,Color
155,Nicaragua,Nicaragua,ESTELI,ESTELI,Finca Las Dos Marias,NicaNoLA Coffee,NicaNoLA Coffee,Parainema,Parainema,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1350,single_value,1350.0,1350.0,False,False,False,,82.58,Good (80-84.99),7.5,7.58,7.42,7.58,7.5,7.58,7.42,10.0,10.0,10.0,10.1,0,0,0,green
156,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.5,Good (80-84.99),7.67,7.33,7.17,7.67,7.83,7.5,7.33,10.0,10.0,10.0,11.3,0,2,0,green
157,Panama,Panama,Boquete,Boquete,Finca Lerida,Finca Lerida,Panamerican Coffee Trading,Caturra,Caturra,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.5,Good (80-84.99),7.75,7.67,7.17,7.67,7.42,7.42,7.42,10.0,10.0,10.0,10.0,0,0,0,green
158,Brazil,Brazil,MANTIQUEIRA / SUL DE MINAS,MANTIQUEIRA / SUL DE MINAS,Fazenda Pedra Preta,Eduardo Niero de Souza,Man Volcafe Brasil Ltda.,Mundo Novo,Mundo Novo,Natural / Dry,Natural / Dry,Natural / Dry Family,2022 / 2023,2022,2023,2022,1100,single_value,1100.0,1100.0,False,False,False,,82.5,Good (80-84.99),7.5,7.58,7.5,7.5,7.67,7.42,7.33,10.0,10.0,10.0,11.8,0,1,1,bluish-green
159,United States (Hawaii),United States (Hawaii),Kona,Kona,Kainaliu Farm,Kainaliu-Kona Coffee Company,Taiwan Coffee Laboratory,Maragogype,Maragogype,Washed / Wet,Washed / Wet,Washed / Wet Family,2022,2022,2022,2022,640,single_value,640.0,640.0,False,False,False,,82.5,Good (80-84.99),7.33,7.58,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,11.7,0,1,0,blue-green
160,Mexico,Mexico,Veracruz,Veracruz,Las Trincheras,Jose Cienfuegos,Taiwan Coffee Laboratory,Pacamara,Pacamara,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1340,single_value,1340.0,1340.0,False,False,False,,82.5,Good (80-84.99),7.67,7.42,7.5,7.5,7.67,7.42,7.33,10.0,10.0,10.0,10.7,0,0,0,pale yellow
161,Honduras,Honduras,"Centro, Lagunetillas - Ajuterique, Comayagua","Centro, Lagunetillas - Ajuterique, Comayagua",La Cuchilla,Fausto Nahun Maldonado,Mercon Honduras,Catuai,Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1368,single_value,1368.0,1368.0,False,False,False,,82.5,Good (80-84.99),7.58,7.58,7.33,7.5,7.58,7.42,7.5,10.0,10.0,10.0,10.6,0,8,0,green
162,Taiwan,Taiwan,新竹縣,新竹縣,弘欣咖啡園,胡明杰,Taiwu Coffee Cooperative,unknown,unknown,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,139,single_value,139.0,139.0,True,False,False,,82.5,Good (80-84.99),7.42,7.42,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,8.4,0,2,0,green
163,Nicaragua,Nicaragua,"Matagalpa, Nicaragua","Matagalpa, Nicaragua",Finca Aurora,Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,Mr.Brown Cafe,Caturra-Catuai,Caturra-Catuai,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200-1350,range_dash,1275.0,1275.0,False,False,False,,82.42,Good (80-84.99),7.58,7.58,7.42,7.42,7.5,7.5,7.42,10.0,10.0,10.0,11.4,0,0,0,bluish-green
164,Vietnam,Vietnam,Dalat,Dalat,Apollo Estate,"Yeh,Li Chuan","Sunvirtue Co., Ltd.",Catimor,Catimor,Washed / Wet,Washed / Wet,Washed / Wet Family,2021,2021,2021,2021,1040,single_value,1040.0,1040.0,False,False,False,,82.33,Good (80-84.99),7.5,7.5,7.33,7.5,7.5,7.42,7.58,10.0,10.0,10.0,10.5,0,0,0,bluish-green
165,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2022 / 2023,2022,2023,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.33,Good (80-84.99),7.5,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,12.0,0,10,7,green
166,El Salvador,El Salvador,Apaneca - Ilamatepec,Apaneca - Ilamatepec,Agua Caliente,"J.J. Borja Nathan, S.A.",Consejo Salvadoreño del Café,Bourbon,Bourbon,Washed / Wet,Washed / Wet,Washed / Wet Family,2021 / 2022,2021,2022,2022,1200,single_value,1200.0,1200.0,False,False,False,,82.33,Good (80-84.99),7.33,7.67,7.25,7.67,7.83,7.42,7.17,10.0,10.0,10.0,11.8,0,0,0,bluish-green
167,Taiwan,Taiwan,新竹縣,新竹縣,寶山謐靚,宋煦仁,Taiwu Coffee Cooperative,unknown,unknown,Natural / Dry,Natural / Dry,Natural / Dry Family,2021 / 2022,2021,2022,2022,140,single_value,140.0,140.0,True,False,False,,82.33,Good (80-84.99),7.67,7.58,7.42,7.5,7.33,7.42,7.42,10.0,10.0,10.0,10.8,0,1,0,green
